Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
P07,T,-3.86E-11,-2.78E-11,-2.01E-11,6.18E-12,-7.27E-11,1.70E-11,2.47E-11,5.10E-11,NMDG60/2,4.73E+08,1.07E-11
A08,T,-3.73E-09,-2.87E-09,-2.98E-09,-3.08E-09,-3.18E-09,-3.39E-09,-3.48E-09,-3.64E-09,NMDG60/2,1.30E+09,1.61E-11
B08,T,-7.68E-10,-2.20E-10,-2.15E-10,-2.47E-10,-2.35E-10,-3.34E-10,-3.63E-10,-4.73E-10,NMDG60/2,1.01E+09,3.79E-12
C08,T,-1.68E-09,-7.13E-10,-7.53E-10,-8.15E-10,-8.87E-10,-1.13E-09,-1.27E-09,-1.53E-09,NMDG60/2,3.49E+09,1.55E-11
D08,T,-3.86E-11,-4.48E-11,-4.17E-11,-3.86E-11,-3.56E-11,-3.71E-11,-3.56E-11,-3.86E-11,NMDG60/2,1.27E+09,3.98E-11
E08,F,-4.19E-10,-3.01E-10,-2.67E-10,-2.57E-10,-2.49E-10,-2.21E-10,-2.33E-10,-2.43E-10,NMDG60/2,8.64E+08,1.15E-11
F08,F,4.24E-10,3.74E-10,2.38E-10,2.38E-10,2.07E-10,1.58E-10,1.82E-10,1.61E-10,NMDG60/2,5.75E+08,1.04E-11
G08,T,-2.13E-09,-8.95E-10,-9.44E-10,-1.03E-09,-1.05E-09,-1.33E-09,-1.53E-09,-1.82E-09,NMDG60/2,2.26E+09,1.85E-11
H08,T,-6.20E-10,-3.42E-10,-3.60E-10,-3.71E-10,-3.88E-10,-4.81E-10,-5.16E-10,-5.84E-10,NMDG60/2,8.00E+09,1.09E-11
I08,T,-6.80E-11,-1.17E-10,-1.48E-10,-1.51E-10,-1.42E-10,-1.27E-10,-1.67E-10,-2.24E-10,NMDG60/2,4.57E+08,8.74E-12
J08,T,-1.63E-09,-1.08E-09,-1.12E-09,-1.18E-09,-1.21E-09,-1.38E-09,-1.45E-09,-1.54E-09,NMDG60/2,8.04E+08,1.78E-11
K08,T,-4.02E-11,-5.26E-11,-5.10E-11,-4.48E-11,-4.17E-11,-4.79E-11,-3.56E-11,-4.64E-11,NMDG60/2,5.65E+08,3.19E-12
L08,T,-1.10E-10,-1.14E-10,-1.14E-10,-1.14E-10,-1.10E-10,-1.08E-10,-1.11E-10,-1.13E-10,NMDG60/2,8.75E+08,1.70E-11
M08,T,-3.09E-12,-4.33E-11,-4.17E-11,-4.02E-11,-4.02E-11,-3.40E-11,-3.40E-11,-2.78E-11,NMDG60/2,9.27E+07,5.78E-11
N08,T,-1.02E-10,-3.56E-11,-4.48E-11,-4.64E-11,-4.02E-11,-5.41E-11,-6.49E-11,-8.50E-11,NMDG60/2,3.19E+09,6.91E-12
O08,F,-7.69E-09,-7.61E-09,-7.65E-09,-7.66E-09,-7.67E-09,-7.64E-09,-7.67E-09,-7.66E-09,NMDG60/2,4.42E+08,1.71E-11
P08,T,-1.00E-10,-1.00E-10,-1.10E-10,-1.28E-10,-1.04E-10,-1.14E-10,-1.30E-10,-1.55E-10,NMDG60/2,5.86E+10,NaN
A09,T,-2.01E-11,-8.81E-11,-1.39E-10,-1.28E-10,-1.11E-10,-9.74E-11,-8.97E-11,-6.34E-11,NMDG60/2,3.80E+07,NaN
B09,T,-7.73E-12,-1.08E-11,-7.73E-12,-4.64E-12,-4.64E-12,-9.27E-12,-7.73E-12,-1.24E-11,NMDG60/2,9.13E+08,2.81E-12
C09,T,-2.86E-09,-1.42E-09,-1.53E-09,-1.65E-09,-1.73E-09,-2.04E-09,-2.27E-09,-2.61E-09,NMDG60/2,9.19E+08,1.14E-11
D09,F,-1.39E-10,-1.30E-10,-1.27E-10,-1.19E-10,-1.31E-10,-1.27E-10,-1.33E-10,-1.39E-10,NMDG60/2,3.20E+08,NaN
E09,T,-6.34E-11,-5.56E-11,-5.41E-11,-5.72E-11,-5.41E-11,-5.26E-11,-5.41E-11,-6.03E-11,NMDG60/2,1.15E+09,5.54E-12
F09,T,-1.47E-10,-1.07E-10,-1.30E-10,-1.38E-10,-1.22E-10,-1.33E-10,-1.39E-10,-1.48E-10,NMDG60/2,1.58E+11,1.18E-11
G09,T,3.09E-12,-1.55E-11,-6.18E-12,-4.64E-12,-1.55E-12,-6.18E-12,-7.73E-12,6.18E-12,NMDG60/2,3.00E+08,3.73E-12
H09,T,-1.26E-09,-7.74E-10,-8.24E-10,-8.55E-10,-8.81E-10,-1.02E-09,-1.10E-09,-1.19E-09,NMDG60/2,8.10E+08,8.30E-12
I09,T,-7.42E-10,-3.52E-10,-3.40E-10,-3.90E-10,-3.83E-10,-4.99E-10,-5.01E-10,-5.38E-10,NMDG60/2,6.97E+08,1.16E-11
J09,T,-3.28E-09,-2.15E-09,-2.29E-09,-2.47E-09,-2.57E-09,-2.81E-09,-2.96E-09,-3.17E-09,NMDG60/2,4.01E+09,1.10E-11
K09,T,-1.13E-09,-6.07E-10,-6.71E-10,-7.25E-10,-7.45E-10,-8.76E-10,-9.14E-10,-1.04E-09,NMDG60/2,2.12E+09,1.14E-11
L09,T,-2.30E-09,-2.14E-09,-2.19E-09,-2.20E-09,-2.20E-09,-2.25E-09,-2.26E-09,-2.30E-09,NMDG60/2,1.33E+09,1.59E-11
M09,T,-1.56E-09,-9.34E-10,-9.86E-10,-1.08E-09,-1.08E-09,-1.23E-09,-1.32E-09,-1.46E-09,NMDG60/2,1.14E+09,9.69E-12
N09,T,-3.71E-11,-4.95E-11,-5.26E-11,-5.56E-11,-4.95E-11,-4.79E-11,-4.95E-11,-4.33E-11,NMDG60/2,1.77E+08,1.38E-11
O09,F,-4.64E-12,-7.73E-11,-1.39E-11,3.25E-11,6.34E-11,5.87E-11,6.96E-11,8.04E-11,NMDG60/2,1.23E+08,3.65E-11
P09,T,-2.67E-09,-2.35E-09,-2.39E-09,-2.42E-09,-2.42E-09,-2.55E-09,-2.59E-09,-2.65E-09,NMDG60/2,5.26E+08,1.32E-11
