Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
K06,T,-1.093461E-9,-6.665936E-10,-7.253652E-10,-7.284585E-10,-7.686706E-10,-7.934165E-10,-8.924003E-10,-9.573583E-10,NMDG60/2,5.388934E+8,2.323007E-11
L06,T,-1.361026E-10,-1.237297E-10,-1.376493E-10,-1.299162E-10,-1.407425E-10,-1.314628E-10,-1.391959E-10,-1.283695E-10,NMDG60/2,4.999376E+8,1.247881E-11
M06,T,-2.103404E-10,-1.809546E-10,-1.825013E-10,-1.855945E-10,-1.654884E-10,-1.623952E-10,-1.252763E-10,-1.299162E-10,NMDG60/2,3.951972E+8,9.012325E-12
N06,T,-3.882019E-10,-3.077776E-10,-3.247904E-10,-3.201505E-10,-3.031377E-10,-3.418032E-10,-3.557228E-10,-3.882019E-10,NMDG60/2,6.359322E+8,1.232974E-11
O06,T,-3.578881E-9,-2.592137E-9,-1.653338E-9,-1.770881E-9,-1.883784E-9,-2.135883E-9,-2.176096E-9,-1.860585E-9,NMDG60/2,4.599748E+7,1.465786E-11
P06,T,7.114456E-11,-9.279725E-12,-8.970402E-11,-8.661077E-11,-8.351753E-11,-4.330539E-11,-3.093242E-11,-8.197091E-11,NMDG60/2,2.253653E+8,4.534115E-12
A07,T,-5.567835E-11,-6.495808E-11,-5.877159E-11,-6.031822E-11,-5.722497E-11,-6.495808E-11,-6.186483E-11,-4.794525E-11,NMDG60/2,5.298142E+8,8.927542E-12
B07,T,-8.351753E-11,-8.815739E-11,-9.279726E-11,-8.815739E-11,-9.589050E-11,-9.434387E-11,-7.423780E-11,-9.589050E-11,NMDG60/2,6.692783E+8,1.326094E-11
C07,T,-2.165269E-10,-2.103404E-10,-2.026073E-10,-2.041540E-10,-2.087938E-10,-2.072472E-10,-2.227134E-10,-2.149803E-10,NMDG60/2,9.504483E+8,1.633450E-11
D07,T,-1.747682E-10,-1.685817E-10,-1.577553E-10,-1.701283E-10,-1.562087E-10,-1.639418E-10,-1.763148E-10,-1.747682E-10,NMDG60/2,8.775009E+8,2.397757E-11
E07,F,-1.391959E-11,-4.639863E-12,-7.733104E-12,-2.010607E-11,-9.279725E-12,-3.711890E-11,-4.485201E-11,-5.103849E-11,NMDG60/2,NaN,9.683429E-12
F07,F,1.221831E-10,-6.650470E-11,-8.815739E-11,-3.711890E-11,-5.413173E-11,-3.247904E-11,4.949187E-11,6.805132E-11,NMDG60/2,5.599570E+7,NaN
G07,F,-7.578443E-11,-7.578443E-11,-6.186483E-11,-6.959794E-11,-7.733104E-11,-6.959794E-11,-6.650470E-11,-6.495808E-11,NMDG60/2,NaN,NaN
H07,T,-1.855945E-11,-3.711890E-11,-5.877159E-11,-8.042429E-11,-6.495808E-11,-5.567835E-11,-3.711890E-11,-6.495808E-11,NMDG60/2,5.094911E+8,5.299463E-12
I07,T,-3.031377E-10,-2.505526E-10,-2.490060E-10,-2.598323E-10,-2.443661E-10,-2.644722E-10,-2.814850E-10,-2.938580E-10,NMDG60/2,1.269730E+9,9.917211E-12
J07,T,-3.247904E-10,-2.319931E-10,-2.613789E-10,-2.227134E-10,-2.350864E-10,-2.737519E-10,-2.954046E-10,-2.907647E-10,NMDG60/2,1.391134E+9,5.630486E-12
K07,T,-1.546621E-12,-6.186484E-12,-1.237297E-11,-9.279725E-12,-6.186484E-12,-7.733104E-12,-6.186484E-12,1.546621E-12,NMDG60/2,1.817776E+9,2.274997E-12
L07,T,-3.572694E-10,-3.216971E-10,-3.046843E-10,-3.108708E-10,-3.201505E-10,-3.155107E-10,-3.093242E-10,-3.340701E-10,NMDG60/2,6.563858E+8,1.385662E-11
M07,T,1.747682E-10,1.531155E-10,1.469290E-10,1.422891E-10,1.453824E-10,1.546621E-10,1.391959E-10,1.376493E-10,NMDG60/2,5.114209E+6,NaN
N07,T,-1.562087E-10,-1.345560E-10,-1.376493E-10,-1.531155E-10,-1.484756E-10,-1.840479E-10,-2.799384E-10,-2.722053E-10,NMDG60/2,2.538407E+9,5.436686E-12
O07,T,2.315292E-9,1.285242E-9,5.799828E-10,5.243045E-10,6.990726E-10,8.506415E-10,9.480786E-10,7.238186E-10,NMDG60/2,5.165038E+7,NaN
P07,T,-3.783035E-9,-3.739729E-9,-3.755196E-9,-3.854179E-9,-4.093906E-9,-3.687144E-9,-3.690237E-9,-3.547948E-9,NMDG60/2,3.281752E+7,NaN
A08,T,-3.247904E-11,-3.557228E-11,-3.402566E-11,-3.557228E-11,-3.402566E-11,-3.402566E-11,-3.093242E-11,-3.402566E-11,NMDG60/2,7.182851E+8,3.926802E-12
