Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
A07,T,-4.173601E-11,-3.555289E-11,-4.019023E-11,-3.400712E-11,-3.555289E-11,-4.791912E-11,-3.400712E-11,-4.019023E-11,NMDG60/2,4.302145E+8,1.626945E-11
B07,T,-1.205707E-10,-2.782401E-11,-2.782401E-11,-2.782401E-11,-4.173601E-11,-6.337690E-11,-8.347201E-11,-1.066587E-10,NMDG60/2,7.129832E+8,7.154786E-12
C07,T,-1.160879E-9,-8.950055E-10,-8.795477E-10,-9.537451E-10,-9.722944E-10,-1.080499E-9,-1.095957E-9,-1.163971E-9,NMDG60/2,1.744812E+9,7.696907E-12
D07,T,-2.256836E-10,-1.004756E-10,-1.035671E-10,-1.236622E-10,-1.252080E-10,-1.483947E-10,-1.669440E-10,-2.117716E-10,NMDG60/2,1.055598E+9,8.206742E-12
E07,T,-7.605228E-10,-4.065396E-10,-4.173601E-10,-4.652792E-10,-4.714623E-10,-5.734836E-10,-6.198570E-10,-7.110579E-10,NMDG60/2,1.089293E+9,1.428303E-11
F07,F,-1.434482E-9,-1.541141E-9,-1.456123E-9,-1.244351E-9,-1.340190E-9,-1.282996E-9,-1.408204E-9,-1.480855E-9,NMDG60/2,4.018275E+9,1.166285E-11
G07,F,-1.700356E-11,-1.082045E-11,-1.854934E-11,-1.545778E-11,-4.946490E-11,1.854934E-11,-1.545778E-11,-2.009511E-11,NMDG60/2,2.448844E+8,1.257090E-11
H07,T,-1.196432E-9,-5.023779E-10,-5.626632E-10,-5.812125E-10,-6.461352E-10,-8.362659E-10,-9.181921E-10,-1.123781E-9,NMDG60/2,2.100080E+9,1.307292E-11
I07,T,-1.296908E-9,-5.255645E-10,-5.363850E-10,-5.827583E-10,-6.291317E-10,-8.316286E-10,-9.321042E-10,-1.167062E-9,NMDG60/2,2.058253E+9,1.683476E-11
J07,T,-4.730081E-10,-1.174791E-10,-1.159334E-10,-1.143876E-10,-1.252080E-10,-1.576694E-10,-1.824018E-10,-2.782400E-10,NMDG60/2,4.737776E+9,1.220055E-11
K07,T,-4.637334E-12,-2.318667E-11,-1.854934E-11,-2.164089E-11,-2.318667E-11,-1.545778E-11,-1.236622E-11,-1.391200E-11,NMDG60/2,3.233691E+8,NaN
L07,T,-4.637334E-12,1.854934E-11,1.545778E-11,1.082045E-11,-2.473245E-11,-6.183112E-12,1.545778E-11,1.545778E-11,NMDG60/2,5.323163E+8,5.701486E-12
M07,T,-1.751366E-9,-6.770508E-10,-7.126037E-10,-7.527939E-10,-8.254455E-10,-1.106777E-9,-1.264446E-9,-1.564327E-9,NMDG60/2,2.113171E+9,1.266930E-11
N07,T,-1.793102E-10,-1.978596E-10,-1.870391E-10,-1.854934E-10,-1.854934E-10,-1.854934E-10,-1.885849E-10,-1.870391E-10,NMDG60/2,2.043391E+8,6.694189E-12
O07,T,-2.777763E-9,-2.575266E-9,-2.617002E-9,-2.644826E-9,-2.683471E-9,-2.728298E-9,-2.751485E-9,-2.774672E-9,NMDG60/2,1.432942E+9,1.376726E-11
P07,T,-3.864445E-11,-2.782401E-11,-2.009511E-11,6.183112E-12,-7.265157E-11,1.700356E-11,2.473245E-11,5.101067E-11,NMDG60/2,4.726049E+8,1.070000E-11
A08,T,-3.728417E-9,-2.873601E-9,-2.980260E-9,-3.079190E-9,-3.178120E-9,-3.394529E-9,-3.476455E-9,-3.635670E-9,NMDG60/2,1.304332E+9,1.610790E-11
B08,T,-7.682517E-10,-2.195005E-10,-2.148632E-10,-2.473245E-10,-2.349583E-10,-3.338881E-10,-3.632578E-10,-4.730081E-10,NMDG60/2,1.007186E+9,3.788493E-12
C08,T,-1.681806E-9,-7.126037E-10,-7.527939E-10,-8.146250E-10,-8.872766E-10,-1.131510E-9,-1.270630E-9,-1.525683E-9,NMDG60/2,3.494997E+9,1.551150E-11
D08,T,-3.864445E-11,-4.482756E-11,-4.173601E-11,-3.864445E-11,-3.555289E-11,-3.709867E-11,-3.555289E-11,-3.864445E-11,NMDG60/2,1.265759E+9,3.983296E-11
E08,F,-4.189059E-10,-3.014267E-10,-2.674196E-10,-2.565992E-10,-2.488703E-10,-2.210463E-10,-2.334125E-10,-2.426871E-10,NMDG60/2,8.638022E+8,1.145381E-11
F08,F,4.235432E-10,3.740783E-10,2.380498E-10,2.380498E-10,2.071343E-10,1.576694E-10,1.824018E-10,1.607609E-10,NMDG60/2,5.751962E+8,1.040464E-11
G08,T,-2.130082E-9,-8.950055E-10,-9.444704E-10,-1.034126E-9,-1.051129E-9,-1.330915E-9,-1.531866E-9,-1.816289E-9,NMDG60/2,2.257650E+9,1.852644E-11
H08,T,-6.198570E-10,-3.416170E-10,-3.601663E-10,-3.709867E-10,-3.879903E-10,-4.807370E-10,-5.162898E-10,-5.843041E-10,NMDG60/2,8.001287E+9,1.089388E-11
I08,T,-6.801423E-11,-1.174791E-10,-1.483947E-10,-1.514863E-10,-1.422116E-10,-1.267538E-10,-1.669440E-10,-2.241378E-10,NMDG60/2,4.566269E+8,8.735446E-12
