Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac8,RecInac9,RecInac10,RecInac15,RecInac20,RecInac25,RecInac30,Compound Name,Seal Resistance,Capacitance
H06,T,-1.238675E-11,-2.787018E-11,-2.941852E-11,-3.096686E-11,-1.548343E-11,-2.941852E-11,-1.548343E-11,-7.741716E-12,NMDG60/2,1.084988E+9,1.247622E-11
I06,T,-1.703178E-11,-2.012846E-11,-2.941852E-11,-1.858012E-11,-1.703178E-11,-1.703178E-11,-2.167681E-11,-1.393509E-11,NMDG60/2,8.254577E+8,6.382558E-12
J06,T,-5.264367E-11,-7.896551E-11,-8.051385E-11,-8.361054E-11,-6.812710E-11,-6.038538E-11,-5.883705E-11,-6.038538E-11,NMDG60/2,1.856213E+8,1.777779E-11
K06,T,-2.632184E-11,-2.632184E-11,-2.787018E-11,-4.645030E-11,-2.632184E-11,-3.716024E-11,-2.787018E-11,-2.941852E-11,NMDG60/2,5.352149E+8,9.628850E-12
L06,T,1.858012E-11,3.096687E-12,-3.096687E-12,-7.741716E-12,-3.096687E-12,0.000000E+0,1.548343E-12,9.290060E-12,NMDG60/2,7.964729E+7,NaN
M06,T,-1.548343E-11,-2.477349E-11,-3.096686E-11,-3.716024E-11,-3.561190E-11,-3.406355E-11,-3.096686E-11,-3.561190E-11,NMDG60/2,5.146071E+8,8.864868E-12
N06,T,-4.180527E-11,-2.632184E-11,-2.167681E-11,-5.419202E-11,-1.393509E-11,-4.954698E-11,-1.548343E-11,-1.548343E-11,NMDG60/2,1.181827E+9,4.250237E-12
O06,T,0.000000E+0,-2.012846E-11,-2.012846E-11,-2.322515E-11,-1.858012E-11,-1.393509E-11,-1.703178E-11,-2.322515E-11,NMDG60/2,8.274978E+8,8.894392E-12
P06,T,-1.703178E-11,-2.167681E-11,-1.858012E-11,-2.787018E-11,-2.322515E-11,-1.858012E-11,-1.858012E-11,-1.238675E-11,NMDG60/2,1.665757E+9,7.187192E-12
A07,T,-1.068357E-10,-1.594794E-10,-1.625760E-10,-1.548343E-10,-1.455443E-10,-1.501893E-10,-1.486410E-10,-1.362542E-10,NMDG60/2,2.634898E+8,1.364532E-11
B07,T,-4.335361E-11,-5.883705E-11,-6.348207E-11,-5.109533E-11,-5.109533E-11,-5.728870E-11,-5.728870E-11,-5.419202E-11,NMDG60/2,1.635481E+9,1.386231E-11
C07,T,1.548343E-12,-3.406355E-11,-3.251521E-11,-2.632184E-11,-3.251521E-11,-2.167681E-11,-1.703178E-11,-1.703178E-11,NMDG60/2,6.476314E+8,9.152961E-12
D07,T,-4.799864E-11,-6.657876E-11,-6.503042E-11,-5.883705E-11,-5.419202E-11,-5.419202E-11,-6.038538E-11,-5.264367E-11,NMDG60/2,6.812808E+8,5.935060E-12
E07,T,1.548343E-11,3.096687E-12,0.000000E+0,3.096687E-12,1.548343E-12,3.096687E-12,6.193373E-12,7.741716E-12,NMDG60/2,5.018803E+8,5.902714E-12
F07,F,-4.799864E-11,-6.781744E-10,-6.425624E-10,-6.239823E-10,-4.939215E-10,-3.963759E-10,-3.421839E-10,-3.019269E-10,NMDG60/2,5.178577E+7,1.000000E-12
G07,F,-6.503042E-11,-5.574036E-11,-5.883705E-11,-7.432048E-11,-6.193373E-11,-5.728870E-11,-5.264367E-11,-5.264367E-11,NMDG60/2,NaN,NaN
H07,T,-1.083840E-11,-7.741716E-12,3.096687E-12,-1.083840E-11,-7.741716E-12,4.645030E-12,-9.290060E-12,-9.290060E-12,NMDG60/2,8.112534E+8,2.196297E-11
I07,T,3.406355E-11,-1.858012E-11,-1.703178E-11,-2.322515E-11,-9.290060E-12,-1.238675E-11,-4.645030E-12,-3.096687E-12,NMDG60/2,4.039463E+8,7.306383E-12
J07,T,-3.251521E-11,-5.264367E-11,-6.348207E-11,-6.503042E-11,-4.490195E-11,-5.574036E-11,-4.954698E-11,-4.645030E-11,NMDG60/2,4.624257E+8,1.794161E-11
K07,T,-6.038538E-11,-8.825557E-11,-8.361054E-11,-1.006423E-10,-8.051385E-11,-9.599728E-11,-6.657876E-11,-8.206219E-11,NMDG60/2,4.913778E+8,1.570613E-11
L07,T,0.000000E+0,-3.561190E-11,-5.419202E-11,-4.954698E-11,-3.870858E-11,-3.561190E-11,-2.941852E-11,-3.096686E-11,NMDG60/2,3.492337E+8,7.385707E-12
M07,T,-2.012846E-11,-2.012846E-11,-2.012846E-11,-2.012846E-11,-1.548343E-11,-2.477349E-11,-1.703178E-11,-2.322515E-11,NMDG60/2,1.043077E+9,5.108209E-12
N07,F,-3.406355E-11,-6.657876E-11,-6.657876E-11,-5.883705E-11,-5.264367E-11,-4.645030E-11,-4.335361E-11,-2.941852E-11,NMDG60/2,6.128929E+8,1.431027E-11
O07,T,-3.870858E-11,-4.645030E-11,-4.954698E-11,-5.574036E-11,-3.870858E-11,-4.799864E-11,-2.787018E-11,-2.632184E-11,NMDG60/2,4.231638E+8,9.817211E-12
P07,F,-3.870858E-11,-5.574036E-11,-5.728870E-11,-4.954698E-11,-5.728870E-11,-5.419202E-11,-4.645030E-11,-4.799864E-11,NMDG60/2,3.310330E+8,7.640570E-12
A08,T,1.393509E-11,-4.645030E-11,-3.870858E-11,-3.096686E-11,-2.477349E-11,-2.012846E-11,-1.703178E-11,-1.238675E-11,NMDG60/2,5.099002E+8,NaN
B08,T,-3.251521E-11,-4.799864E-11,-5.419202E-11,-5.728870E-11,-4.645030E-11,-5.728870E-11,-6.348207E-11,-5.728870E-11,NMDG60/2,7.488453E+8,8.518806E-12
C08,T,2.167681E-11,-6.193373E-12,-3.096687E-12,-1.238675E-11,-3.096687E-12,1.548343E-12,1.393509E-11,7.741716E-12,NMDG60/2,6.427849E+9,8.887238E-12
D08,T,-3.716024E-11,-4.954698E-11,-4.954698E-11,-6.503042E-11,-3.716024E-11,-5.264367E-11,-3.096686E-11,-2.941852E-11,NMDG60/2,8.013736E+8,1.431370E-11
E08,F,1.347059E-10,5.883705E-11,5.728870E-11,5.109533E-11,5.109533E-11,6.657876E-11,7.122379E-11,9.290060E-11,NMDG60/2,5.543057E+6,NaN
F08,F,-4.288911E-10,-5.264367E-10,-5.310817E-10,-4.954698E-10,-4.490195E-10,-4.428262E-10,-4.815348E-10,-5.233400E-10,NMDG60/2,5.647998E+7,1.512805E-11
G08,F,-4.645030E-12,-1.145774E-10,-9.444894E-11,-1.161257E-10,-1.099324E-10,-9.135225E-11,-5.419202E-11,-2.477349E-11,NMDG60/2,2.526935E+8,6.801221E-12
H08,T,0.000000E+0,-2.012846E-11,-1.858012E-11,-1.703178E-11,-1.083840E-11,-6.193373E-12,-6.193373E-12,-1.238675E-11,NMDG60/2,1.039712E+10,6.058712E-12
I08,F,3.561190E-11,4.799864E-11,4.645030E-12,3.096687E-12,-2.787018E-11,-3.870858E-11,-3.716024E-11,-4.645030E-12,NMDG60/2,5.206089E+8,1.258922E-11
J08,F,-4.490195E-11,-4.799864E-11,-5.419202E-11,-7.741716E-11,-5.728870E-11,-8.051385E-11,-5.883705E-11,-4.954698E-11,NMDG60/2,5.594505E+8,1.388723E-11
